epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.60,0.60,1.10,1.05,0.48,0.50,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
2,0.58,1.18,0.85,0.80,0.60,0.61,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
3,0.57,1.75,0.70,0.66,0.68,0.69,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
4,0.57,2.32,0.58,0.54,0.75,0.76,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
5,0.56,2.88,0.50,0.47,0.81,0.82,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
6,0.56,3.44,0.45,0.42,0.84,0.85,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
7,0.55,3.99,0.41,0.38,0.86,0.87,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
8,0.55,4.54,0.38,0.35,0.88,0.89,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
9,0.54,5.08,0.36,0.33,0.89,0.90,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"
10,0.54,5.62,0.34,0.31,0.90,0.91,Adam,0.001,32,42,"beta1=0.9;beta2=0.999"

