epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.50,0.50,1.20,1.18,0.45,0.46,SGD,0.01,32,42,"momentum=0.9"
2,0.48,0.98,1.05,1.03,0.53,0.52,SGD,0.01,32,42,"momentum=0.9"
3,0.47,1.45,0.95,0.93,0.58,0.57,SGD,0.01,32,42,"momentum=0.9"
4,0.46,1.91,0.85,0.84,0.62,0.61,SGD,0.01,32,42,"momentum=0.9"
5,0.46,2.37,0.78,0.77,0.66,0.65,SGD,0.01,32,42,"momentum=0.9"
6,0.45,2.82,0.72,0.71,0.69,0.68,SGD,0.01,32,42,"momentum=0.9"
7,0.45,3.27,0.68,0.67,0.71,0.70,SGD,0.01,32,42,"momentum=0.9"
8,0.44,3.71,0.65,0.64,0.73,0.72,SGD,0.01,32,42,"momentum=0.9"
9,0.44,4.15,0.63,0.62,0.74,0.73,SGD,0.01,32,42,"momentum=0.9"
10,0.44,4.59,0.61,0.60,0.75,0.74,SGD,0.01,32,42,"momentum=0.9"

