epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.14,0.14,0.692,0.690,0.50,0.50,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
2,0.13,0.27,0.580,0.578,0.75,0.75,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
3,0.13,0.40,0.450,0.448,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
4,0.12,0.52,0.320,0.318,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
5,0.12,0.64,0.220,0.218,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
6,0.12,0.76,0.180,0.178,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
7,0.11,0.87,0.150,0.148,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
8,0.11,0.98,0.120,0.118,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
9,0.11,1.09,0.100,0.098,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"
10,0.11,1.20,0.085,0.083,1.00,1.00,Adam,0.001,4,42,"beta1=0.9;beta2=0.999"

