epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.12,0.12,0.693,0.692,0.50,0.50,SGD,0.01,4,42,"momentum=0.9"
2,0.11,0.23,0.650,0.648,0.50,0.50,SGD,0.01,4,42,"momentum=0.9"
3,0.11,0.34,0.580,0.578,0.75,0.75,SGD,0.01,4,42,"momentum=0.9"
4,0.11,0.45,0.520,0.518,0.75,0.75,SGD,0.01,4,42,"momentum=0.9"
5,0.10,0.55,0.450,0.448,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"
6,0.10,0.65,0.380,0.378,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"
7,0.10,0.75,0.320,0.318,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"
8,0.10,0.85,0.280,0.278,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"
9,0.09,0.94,0.250,0.248,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"
10,0.09,1.03,0.220,0.218,1.00,1.00,SGD,0.01,4,42,"momentum=0.9"

